Proteins	Basal	Basal	Basal	Basal	Basal	Basal	Basal	Basal	Basal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal
'AKA10'	0.988285652	0.952637998	0.998614666	1.099616149	1.101141598	0.996540263	1.051901779	1.043911927	1.021012126	1.015366101	1.050444544	1.061423209	0.989656656	0.965936329	0.865136691	1.098854218	1.02313747	1.025978145
'AKA11'	1.020304659	0.993781093	0.984184022	0.987600861	0.981459064	1.162314108	1.219255094	1.142346247	1.051901779	0.986232704	0.938871747	1.016774673	0.979420298	1.0181852	0.998614666	1.057750964	1.009751298	1.086734863
'AKAP1'	1.0238469	1.002081605	1.0181852	0.892546971	0.839149637	0.971307496	0.956608158	0.922103118	0.980099415	0.929804943	0.915733686	0.916368645	0.97874165	0.983502074	0.883927531	0.984866443	0.978063473	0.982820599
'AKAP6'	1.113421618	1.079228237	1.136029265	0.957271458	0.759962428	0.911301281	1.00695555	0.932386486	0.877213549	0.847919965	0.824733549	0.891928519	1.064370182	1.070288698	2.194663875	1.071773463	0.863938187	0.874784765
'AKAP8'	1.00486382	1.0181852	0.943438251	0.906890329	0.957935218	0.934327347	0.987600861	1	1.018891197	1.035264924	1.024556823	1.021012126	1.030253954	1.002776436	1.034547582	0.959929261	0.963261894	0.995159722
'AKIB1'	1.036701101	0.976708529	0.953298545	1.048989328	1.104964485	1.102669163	0.921464186	0.929160674	0.938221197	1.035982764	1.009051634	1.0453601	0.951977908	1.068805991	1.025267238	0.97063447	0.975355462	1.016070143
'AKIP'	1.043911927	1.054822317	1.004167543	0.947370071	1.016774673	0.990342872	0.929804943	0.890692901	0.883315051	1.144724161	1.115739322	1.0453601	0.924663278	0.920187651	0.922742493	1.085981856	1.012554807	0.959264119
'AKNA'	0.957935218	1.074004472	1.138394029	1.051172909	0.924663278	0.879649076	1.07549439	0.984184022	1.154285418	0.842062954	0.90000193	0.798851916	1.097331938	1.0238469	0.789493887	0.957271458	0.882702996	0.961927455
'AKP13'	0.964598185	1.009751298	0.996540263	0.89564567	0.877213549	0.959264119	1.049716684	1.011853201	1.056285625	0.988970916	0.991029563	1.019597683	1.022428531	1.033114388	1.00695555	0.97874165	0.986916546	1.02313747
'AKT1'	1.051901779	0.952637998	1.006257823	1.058484395	1.065108203	1.069547088	1.00765376	0.877213549	0.967947027	0.883927531	0.947370071	0.981459064	1.031683179	1.024556823	0.889458994	1.082975046	1.118061851	1.129747215
